attendance,assignment_score,quiz_score,study_time,lms_activity,previous_grade,missed_submissions,target
97.9,82.4,44.7,4.7,64.8,47.7,2,0
70.7,60.5,77.8,7.1,47.8,83.4,0,0
86.1,79.9,59.4,6.8,30.0,79.9,1,0
65.6,89.0,52.3,2.5,23.9,75.1,0,0
100.0,26.4,95.5,6.5,53.1,57.8,2,0
74.3,90.1,67.1,6.4,47.7,65.1,2,0
44.2,41.0,78.4,6.4,51.3,66.3,2,1
65.3,52.4,68.5,3.6,63.2,40.5,3,1
83.5,73.1,82.7,10.2,75.3,38.4,0,0
63.8,68.5,74.3,4.2,58.7,54.7,1,0
49.7,49.5,40.7,3.6,76.1,51.8,5,1
83.9,71.7,49.5,7.8,43.5,67.8,5,1
73.3,91.0,52.3,5.9,90.4,56.6,4,1
87.7,56.8,76.4,8.4,67.4,42.4,1,0
70.5,66.5,76.2,6.4,28.3,71.7,2,0
85.1,89.6,80.0,7.1,53.6,41.1,2,0
78.7,73.4,42.0,3.3,76.1,65.4,2,0
75.5,68.6,81.9,4.7,56.9,59.1,1,0
69.4,72.4,56.4,9.1,37.1,63.2,1,0
100.0,71.9,83.6,2.3,60.3,79.3,2,0
94.2,57.7,90.4,11.7,47.7,59.3,3,0
100.0,57.5,57.4,5.3,28.1,52.2,0,0
61.2,67.3,69.2,9.9,35.0,80.8,1,0
74.1,81.5,44.8,7.0,58.3,73.4,2,0
100.0,55.2,55.4,4.4,43.9,56.4,3,1
100.0,56.6,50.0,7.2,44.0,75.5,2,0
47.7,99.0,97.3,4.5,47.2,70.3,2,0
86.9,100.0,61.8,4.0,27.4,55.0,1,0
100.0,57.6,69.0,6.0,78.8,100.0,1,0
66.2,88.9,77.3,10.6,66.7,60.6,2,0
95.0,84.4,74.1,8.7,78.4,86.7,2,0
72.0,70.9,86.7,4.0,62.4,60.1,2,0
98.0,71.8,65.8,2.6,69.9,75.7,4,1
69.5,72.4,69.5,9.9,53.1,70.2,2,0
78.4,59.1,68.5,8.7,34.5,68.0,1,0
96.5,37.5,54.9,6.9,86.3,65.0,1,0
100.0,39.0,25.4,7.1,45.0,50.7,2,1
79.4,56.7,42.0,8.2,68.0,64.5,4,1
55.7,37.5,52.5,5.9,59.9,62.4,2,1
52.5,96.9,63.5,8.8,61.9,72.9,2,0
83.1,80.9,88.9,6.5,69.2,64.7,3,0
62.8,100.0,64.3,2.4,57.6,55.8,3,1
63.3,59.1,31.0,4.9,6.5,42.2,2,1
89.1,76.5,47.6,5.9,54.9,48.6,3,1
90.8,63.6,65.5,6.5,14.2,62.3,1,0
57.0,62.4,97.4,7.6,43.6,74.6,3,0
91.6,69.2,53.4,7.7,62.9,79.4,2,0
93.9,57.3,88.7,6.5,96.5,55.7,4,0
78.6,55.0,56.3,5.2,63.5,73.8,1,0
74.6,100.0,96.1,7.1,55.8,67.8,2,0
56.6,62.9,35.0,7.0,67.9,58.8,3,1
52.9,38.7,69.0,8.6,88.7,59.1,3,1
74.3,64.5,80.9,7.6,23.5,88.1,3,0
63.7,75.9,73.9,6.7,44.0,55.9,1,0
96.1,78.9,58.3,7.9,5.0,83.2,0,0
68.5,45.6,41.7,8.9,45.6,71.2,1,0
83.6,69.5,41.9,8.5,45.1,42.7,1,0
100.0,85.0,58.7,5.1,48.6,97.2,2,0
82.7,88.6,69.3,5.4,51.1,64.9,1,0
88.1,69.0,78.2,5.8,56.6,36.0,3,1
81.2,88.0,12.9,11.2,52.2,82.6,0,0
86.0,46.9,53.8,10.8,51.2,69.3,3,0
83.9,71.0,71.6,12.0,53.8,69.0,3,0
94.9,91.7,76.5,3.1,87.7,48.8,2,0
61.4,66.7,70.9,6.8,63.4,90.2,2,0
70.6,87.3,86.4,2.9,66.9,76.5,1,0
99.8,65.0,67.3,5.6,55.3,49.6,0,0
100.0,51.1,47.2,1.0,42.2,46.2,3,1
93.2,54.2,100.0,8.5,48.5,28.5,4,1
50.0,35.1,83.4,12.1,82.7,74.5,2,0
90.4,83.2,70.1,6.3,53.7,54.7,1,0
44.5,66.0,47.2,3.2,58.6,86.9,3,1
46.7,48.2,81.9,3.5,50.5,74.3,0,0
76.9,41.3,54.2,6.8,23.1,72.6,1,0
84.9,72.5,89.6,6.3,46.4,67.8,2,0
75.9,68.8,52.4,4.3,26.9,92.2,0,0
62.5,53.6,81.1,5.3,80.0,55.9,2,0
60.0,100.0,43.6,6.8,67.7,72.2,1,0
72.7,68.9,62.4,8.4,99.2,57.6,0,0
73.4,100.0,50.5,10.1,88.6,57.7,2,0
100.0,60.4,61.3,4.5,34.7,56.3,0,0
75.6,52.6,69.2,2.1,61.6,78.5,0,0
81.7,92.6,43.2,10.2,63.4,55.4,1,0
